Date,Rainfall_mm
2025-01-03,0.0
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,0.0011931135
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.31541175
2025-01-15,0.09123499
2025-01-16,0.0005034376
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,0.09262154
2025-01-20,0.5274623
2025-01-21,0.00030197078
2025-01-22,0.0
2025-01-23,0.00043001532
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-01-31,0.0
2025-02-01,0.0004332848
2025-02-02,0.0
2025-02-03,0.0
2025-02-04,0.0
2025-02-05,0.0
2025-02-06,0.0
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,0.0
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,0.011917546
2025-02-22,0.0064642467
2025-02-23,0.018289
2025-02-24,0.061319377
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.00064284506
2025-03-02,0.0037843934
2025-03-03,0.016250279
2025-03-04,0.00012248954
2025-03-05,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.85370654
2025-03-13,1.9328058
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.42663696
2025-03-18,0.6612158
2025-03-19,0.19974956
2025-03-20,0.1506099
2025-03-21,0.5014408
2025-03-22,0.75097954
2025-03-23,1.6291698
2025-03-24,1.4649285
2025-03-25,0.5049492
2025-03-26,1.2023033
2025-03-27,1.1039824
2025-03-28,0.1006935
2025-03-29,0.080010094
2025-03-30,0.049897294
2025-03-31,0.14157563
2025-04-01,0.21826679
2025-04-02,0.5110105
2025-04-03,0.62698054
2025-04-04,8.110881
2025-04-05,3.096224
2025-04-06,2.1356263
2025-04-07,0.4078229
2025-04-08,0.2983388
2025-04-09,1.2732147
2025-04-10,1.0206697
2025-04-11,2.0267596
2025-04-12,1.7448403
2025-04-13,1.4519815
2025-04-14,0.29337695
2025-04-15,1.9539319
2025-04-16,0.7550822
2025-04-17,1.2659855
2025-04-18,0.30771205
2025-04-19,2.4116848
2025-04-20,0.5087941
2025-04-21,3.9218578
2025-04-22,0.49201262
2025-04-23,0.30162388
2025-04-24,0.6388583
2025-04-25,0.25468206
2025-04-26,2.2892551
2025-04-27,1.2003225
2025-04-28,3.715819
2025-04-29,0.4828365
2025-04-30,1.1128541
2025-05-01,2.1372588
2025-05-02,0.6877743
2025-05-03,4.4676847
2025-05-04,0.21852998
2025-05-05,0.49963015
2025-05-06,0.557196
2025-05-07,0.86715347
2025-05-08,0.9308444
2025-05-09,0.63282233
2025-05-10,0.9342774
2025-05-11,0.5724087
2025-05-12,0.7207541
2025-05-13,4.2415314
2025-05-14,8.150335
2025-05-15,7.981493
2025-05-16,3.4702263
2025-05-17,4.662013
2025-05-18,13.031574
2025-05-19,13.236514
2025-05-20,9.920442
2025-05-21,23.216955
2025-05-22,14.682456
2025-05-23,14.044525
2025-05-24,14.820179
2025-05-25,15.668354
2025-05-26,26.580223
2025-05-27,24.762394
2025-05-28,12.737673
2025-05-29,13.882752
2025-05-30,13.587328
2025-05-31,5.977563
2025-06-01,1.3736908
2025-06-02,2.8848004
2025-06-03,4.117026
2025-06-04,3.1672463
2025-06-05,3.6196868
2025-06-06,0.7717907
2025-06-07,1.0499382
2025-06-08,2.5859156
2025-06-09,9.887908
2025-06-10,3.3755112
2025-06-11,3.623223
2025-06-12,17.631357
2025-06-13,15.947317
2025-06-14,9.954621
2025-06-15,14.526503
2025-06-16,23.468567
2025-06-17,14.252762
2025-06-18,8.6155405
2025-06-19,7.9374857
2025-06-20,6.6356616
2025-06-21,5.9214497
2025-06-22,3.531712
2025-06-23,10.559043
2025-06-24,11.231185
2025-06-25,10.773115
2025-06-26,11.309487
2025-06-27,8.238959
2025-06-28,5.4970574
2025-06-29,4.9521503
2025-06-30,4.772589
2025-07-01,7.037802
2025-07-02,10.765654
2025-07-03,19.785376
2025-07-04,10.838507
2025-07-05,11.383275
2025-07-06,9.829389
2025-07-07,7.498252
2025-07-08,5.4162846
2025-07-09,6.674839
2025-07-10,5.602013
2025-07-11,4.577288
2025-07-12,7.507717
2025-07-13,4.420697
2025-07-14,6.296877
2025-07-15,13.649487
2025-07-16,9.292095
2025-07-17,13.917239
2025-07-18,9.4236355
2025-07-19,11.566718
2025-07-20,9.776031
2025-07-21,11.128358
2025-07-22,13.783686
2025-07-23,15.49419
2025-07-24,17.228626
2025-07-25,14.550969
2025-07-26,18.523804
2025-07-27,15.549585
2025-07-28,4.491747
2025-07-29,3.1631536
2025-07-30,3.9664807
2025-07-31,3.021418
2025-08-01,2.2156677
2025-08-02,1.9121081
2025-08-03,4.493395
2025-08-04,4.090785
2025-08-05,9.245066
2025-08-06,20.596382
2025-08-07,4.7983184
2025-08-08,10.071612
2025-08-09,11.410799
2025-08-10,12.480403
2025-08-11,11.10616
2025-08-12,7.5398283
2025-08-13,7.944877
2025-08-14,15.0549135
2025-08-15,15.498885
2025-08-16,15.356927
2025-08-17,13.41466
2025-08-18,30.042175
2025-08-19,23.6514
