Date,Rainfall_mm
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.12051259
2024-01-04,0.9477503
2024-01-05,1.4101403
2024-01-06,0.30599663
2024-01-07,1.4458665
2024-01-08,0.5618604
2024-01-09,1.6623634
2024-01-10,1.347236
2024-01-11,0.01922584
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0088019185
2024-01-19,0.0
2024-01-20,0.00035834615
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.06299329
2024-02-03,8.748083e-05
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.038724344
2024-02-26,0.010007199
2024-02-27,0.0
2024-02-28,0.016230566
2024-02-29,0.0
2024-03-01,0.00048635085
2024-03-02,0.0048635085
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.002881771
2024-03-16,0.014843173
2024-03-17,0.50037193
2024-03-18,0.14391105
2024-03-19,0.15553086
2024-03-20,0.008725859
2024-03-21,0.0
2024-03-22,0.007405594
2024-03-23,0.108683795
2024-03-24,0.07915798
2024-03-25,0.093430616
2024-03-26,0.005224945
2024-03-27,0.008038483
2024-03-28,0.011977929
2024-03-29,0.0037121638
2024-03-30,0.03487093
2024-03-31,0.008529599
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0039361236
2024-04-04,0.047753334
2024-04-05,0.0066541205
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.007858971
2024-04-09,0.055273514
2024-04-10,0.114325956
2024-04-11,0.12945722
2024-04-12,0.6300169
2024-04-13,1.3599027
2024-04-14,2.1014166
2024-04-15,0.21296205
2024-04-16,0.035234984
2024-04-17,0.022761365
2024-04-18,0.37933034
2024-04-19,1.5465237
2024-04-20,3.125543
2024-04-21,2.17476
2024-04-22,0.26005185
2024-04-23,1.0933791
2024-04-24,0.108470514
2024-04-25,0.24463159
2024-04-26,0.00034485676
2024-04-27,0.07382758
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0150738815
2024-05-01,0.016588602
2024-05-02,0.031092066
2024-05-03,0.10390846
2024-05-04,0.7589231
2024-05-05,0.62536186
2024-05-06,0.082379654
2024-05-07,2.6733263
2024-05-08,4.432528
2024-05-09,1.5301511
2024-05-10,1.98499
2024-05-11,1.9719787
2024-05-12,3.4064083
2024-05-13,7.745748
2024-05-14,3.4441085
2024-05-15,4.27316
2024-05-16,1.8451124
2024-05-17,7.591596
2024-05-18,5.253256
2024-05-19,8.178028
2024-05-20,8.553116
2024-05-21,11.534896
2024-05-22,4.424489
2024-05-23,5.2991776
2024-05-24,4.0586114
2024-05-25,8.587252
2024-05-26,0.3861392
2024-05-27,2.726459
2024-05-28,0.03670353
2024-05-29,0.595409
2024-05-30,0.54018974
2024-05-31,0.48092568
2024-06-01,0.5846798
2024-06-02,4.4459443
2024-06-03,14.611046
2024-06-04,3.042949
2024-06-05,4.400288
2024-06-06,8.210627
2024-06-07,18.232971
2024-06-08,12.946238
2024-06-09,18.070654
2024-06-10,12.33734
2024-06-11,10.511053
2024-06-12,10.5402
2024-06-13,8.254265
2024-06-14,7.097418
2024-06-15,3.4508622
2024-06-16,1.33059
2024-06-17,3.8409114
2024-06-18,6.4068727
2024-06-19,4.8497305
2024-06-20,4.505738
2024-06-21,9.021406
2024-06-22,7.332571
2024-06-23,5.4785843
2024-06-24,7.0635304
2024-06-25,6.1529927
2024-06-26,12.428757
2024-06-27,15.804033
2024-06-28,9.36119
2024-06-29,7.599473
2024-06-30,7.9439034
2024-07-01,11.27327
2024-07-02,8.300988
2024-07-03,8.19722
2024-07-04,13.759286
2024-07-05,6.2001247
2024-07-06,12.528081
2024-07-07,11.641568
2024-07-08,22.393661
2024-07-09,14.423513
2024-07-10,3.4383063
2024-07-11,5.926217
2024-07-12,3.301607
2024-07-13,18.83782
2024-07-14,17.529343
2024-07-15,25.833693
2024-07-16,23.35251
2024-07-17,13.507502
2024-07-18,21.37611
2024-07-19,27.506365
2024-07-20,19.829065
2024-07-21,16.153896
2024-07-22,18.006645
2024-07-23,12.840454
2024-07-24,14.073886
2024-07-25,21.065392
2024-07-26,21.771751
2024-07-27,15.118762
2024-07-28,4.9021006
2024-07-29,6.770431
2024-07-30,18.064655
2024-07-31,19.934288
2024-08-01,16.737942
2024-08-02,15.126628
2024-08-03,10.733379
2024-08-04,8.632533
2024-08-05,6.689537
2024-08-06,5.867619
2024-08-07,12.166258
2024-08-08,6.9702725
2024-08-09,6.383335
2024-08-10,6.7912893
2024-08-11,3.4936538
2024-08-12,5.2296352
2024-08-13,4.3962626
2024-08-14,7.109263
2024-08-15,5.2059803
2024-08-16,3.5482996
2024-08-17,12.711558
2024-08-18,6.2446427
2024-08-19,4.143228
2024-08-20,18.382069
2024-08-21,7.8482757
2024-08-22,7.8577757
2024-08-23,3.6710556
2024-08-24,10.740446
2024-08-25,14.422793
2024-08-26,10.857686
2024-08-27,10.498786
2024-08-28,8.931305
2024-08-29,7.065059
2024-08-30,6.6687293
2024-08-31,10.193028
2024-09-01,16.21198
2024-09-02,12.9755335
2024-09-03,10.7907295
2024-09-04,8.32859
2024-09-05,5.3976994
2024-09-06,7.4829845
2024-09-07,4.9509587
2024-09-08,6.1722994
2024-09-09,5.9439025
2024-09-10,5.0902557
2024-09-11,2.9328303
2024-09-12,2.9644506
2024-09-13,0.85380965
2024-09-14,0.8958051
2024-09-15,1.192293
2024-09-16,1.1839807
2024-09-17,2.1734076
2024-09-18,0.38722497
2024-09-19,0.1854444
2024-09-20,0.40466195
2024-09-21,2.0053976
2024-09-22,6.013695
2024-09-23,8.422259
2024-09-24,14.645062
2024-09-25,16.69233
2024-09-26,8.903817
2024-09-27,5.341385
2024-09-28,3.1961896
2024-09-29,2.7470527
2024-09-30,3.6512046
2024-10-01,2.9453332
2024-10-02,3.2505746
2024-10-03,7.2355328
2024-10-04,4.5876083
2024-10-05,11.767222
2024-10-06,4.827886
2024-10-07,4.402382
2024-10-08,3.9554975
2024-10-09,8.806107
2024-10-10,3.8368318
2024-10-11,6.481025
2024-10-12,9.739541
2024-10-13,3.4464645
2024-10-14,4.550733
2024-10-15,7.2567196
2024-10-16,14.827189
2024-10-17,15.277474
2024-10-18,7.972439
2024-10-19,5.3333173
2024-10-20,6.286491
2024-10-21,11.317429
2024-10-22,10.147848
2024-10-23,4.7591963
2024-10-24,5.100354
2024-10-25,1.1112003
2024-10-26,0.18384427
2024-10-27,0.057431422
2024-10-28,0.2004258
2024-10-29,0.47347558
2024-10-30,0.16332781
2024-10-31,1.8831241
2024-11-01,3.8324258
2024-11-02,1.7250829
2024-11-03,1.3448114
2024-11-04,1.5236883
2024-11-05,0.7745311
2024-11-06,0.029996678
2024-11-07,0.00019723727
2024-11-08,0.1004889
2024-11-09,0.015676646
2024-11-10,0.009382149
2024-11-11,0.015890766
2024-11-12,0.0019417519
2024-11-13,0.63954353
2024-11-14,0.31052175
2024-11-15,5.785799
2024-11-16,2.2150927
2024-11-17,1.3026468
2024-11-18,0.7103955
2024-11-19,0.006155549
2024-11-20,0.0
2024-11-21,0.022741726
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,0.0040115267
2024-11-27,0.40744552
2024-11-28,0.0036369457
2024-11-29,0.0
2024-11-30,0.04195147
2024-12-01,2.9800026
2024-12-02,8.313213
2024-12-03,12.895947
2024-12-04,1.2133987
2024-12-05,1.1394222
2024-12-06,1.3958238
2024-12-07,0.671802
2024-12-08,0.9647567
2024-12-09,1.0870043
2024-12-10,0.1565109
2024-12-11,0.028912077
2024-12-12,0.1016945
